zipcode,bedrooms,AVERAGE of price
90049,5,13995000
90049,,13995000
90077,5,41497500
90077,6,39354600
90077,7,54777000
90077,8,26876000
90077,9,18400000
90077,12,65000000
90077,,40601737
90210,3,6200500
90210,4,18147400
90210,5,18376111
90210,6,18108000
90210,7,37158083
90210,8,17500000
90210,10,37500000
90210,11,75000000
90210,12,85000000
90210,,24909191
90211,3,2262500
90211,4,3991000
90211,5,5395000
90211,,3697714
90212,4,5295000
90212,5,3295000
90212,,4295000
90265,1,2999999
90265,2,3275000
90265,3,11927400
90265,4,15959286
90265,5,28815000
90265,6,33166667
90265,7,29900000
90265,,16804042
91745,7,2750000
91745,,2750000
91901,3,974450
91901,4,1124967
91901,5,2174500
91901,6,1195000
91901,,1358475
91902,3,649000
91902,4,1210000
91902,,1069750
91910,3,765000
91910,4,851725
91910,7,3999999
91910,,1276700
91911,2,649000
91911,3,649500
91911,5,849999
91911,,699500
91913,3,699900
91913,4,1074499
91913,5,1154667
91913,6,1387000
91913,7,1099000
91913,,1131766
91914,3,917500
91914,5,1517499
91914,6,5999999
91914,8,4700000
91914,,2594999
91915,4,880000
91915,7,1420000
91915,,1150000
91932,2,559000
91932,3,1365500
91932,4,1249500
91932,5,1190000
91932,8,1999000
91932,,1207500
91935,4,1410000
91935,5,3899999
91935,6,2995000
91935,,2428750
91941,2,1075000
91941,4,1238000
91941,5,2699000
91941,6,1250000
91941,,1456333
91942,2,650000
91942,3,1035000
91942,4,1416000
91942,,1161333
91945,3,630000
91945,,630000
91950,2,749999
91950,5,4500000
91950,,2625000
91977,2,332500
91977,3,666000
91977,4,812480
91977,5,869000
91977,6,999000
91977,,712261
92003,4,1250000
92003,,1250000
92007,2,1099000
92007,3,1493000
92007,4,3784500
92007,,2540250
92008,3,3915667
92008,4,1749000
92008,5,11250000
92008,6,9700000
92008,,5466000
92009,2,726500
92009,3,1737495
92009,4,2399333
92009,5,2299633
92009,6,5995000
92009,,2274535
92010,2,1300000
92010,3,1483000
92010,4,1531333
92010,5,1624900
92010,,1495988
92011,2,537000
92011,3,1950000
92011,4,2775000
92011,5,2747645
92011,6,2450000
92011,,2283184
92014,3,4031667
92014,4,11245731
92014,5,7478583
92014,6,7466500
92014,7,9750000
92014,,8679853
92019,3,834950
92019,4,1268250
92019,5,1331333
92019,6,3500000
92019,8,4500000
92019,,1703354
92020,3,689900
92020,4,1297000
92020,,993450
92021,2,324500
92021,3,438300
92021,4,691000
92021,5,1712500
92021,,746190
92024,2,1096267
92024,3,1873800
92024,4,2224250
92024,5,7906667
92024,6,3549000
92024,7,3499000
92024,,3077812
92025,2,449000
92025,3,1114500
92025,4,1293331
92025,5,1525000
92025,,1117444
92026,2,525000
92026,3,1082300
92026,4,1205543
92026,5,1365200
92026,6,1500000
92026,,1122944
92027,3,834600
92027,4,1107980
92027,5,1075000
92027,6,1595000
92027,,1031908
92028,2,685900
92028,3,947000
92028,4,799000
92028,,844725
92029,2,192000
92029,3,1026590
92029,4,1899000
92029,,926994
92037,1,569000
92037,2,2094333
92037,3,9980000
92037,4,5104600
92037,5,15930054
92037,6,11384417
92037,7,13603333
92037,8,10583333
92037,9,17000000
92037,,10743995
92040,3,758333
92040,,758333
92054,2,840667
92054,3,1387796
92054,4,2258083
92054,5,2500000
92054,8,4925000
92054,,1871899
92056,2,438263
92056,3,1295000
92056,4,1052000
92056,,852224
92057,2,480985
92057,3,979000
92057,4,972633
92057,5,1200000
92057,,705317
92058,2,444950
92058,3,589000
92058,4,939500
92058,,657817
92064,3,1146333
92064,4,2247500
92064,5,2938200
92064,6,5822500
92064,,2855833
92065,3,3264997
92065,4,1074500
92065,5,1549000
92065,6,1550000
92065,8,1799000
92065,,2105249
92067,4,4300000
92067,5,6735833
92067,6,10140000
92067,7,12449872
92067,8,9387500
92067,10,8629333
92067,12,7050000
92067,,9943752
92069,1,1250000
92069,2,499000
92069,3,380000
92069,5,1214359
92069,,911544
92070,2,439000
92070,3,767500
92070,,658000
92071,2,354633
92071,3,759000
92071,4,697000
92071,5,874900
92071,,565800
92075,2,1399999
92075,3,3298000
92075,4,4722500
92075,,3535750
92078,2,582933
92078,3,994500
92078,4,1978833
92078,,1209288
92081,2,759900
92081,3,884750
92081,4,1041600
92081,,927962
92082,2,699667
92082,3,1001750
92082,4,1124372
92082,6,1049900
92082,,940464
92083,3,769495
92083,4,1429000
92083,5,1129900
92083,,1024473
92084,2,499000
92084,3,694580
92084,4,1278970
92084,5,1750000
92084,,1048192
92091,3,5950000
92091,5,5825000
92091,6,16950000
92091,7,14937500
92091,,10737500
92101,1,485900
92101,2,874450
92101,3,2400000
92101,,1158700
92102,4,1045000
92102,5,1849000
92102,7,2999999
92102,,1964666
92103,2,2474900
92103,3,1547000
92103,4,4741667
92103,,3298983
92104,2,881633
92104,3,1200000
92104,4,1595000
92104,5,1399999
92104,,1204986
92105,1,355000
92105,2,461700
92105,3,779000
92105,6,1199900
92105,,654933
92106,2,879450
92106,3,1415500
92106,4,2060000
92106,5,12875000
92106,6,3299000
92106,,2993767
92107,1,847000
92107,2,1370980
92107,3,2325000
92107,4,2958500
92107,5,8999000
92107,6,2000000
92107,8,4899000
92107,,2558181
92108,1,459500
92108,3,1038333
92108,4,1645500
92108,,1108944
92109,2,1587333
92109,3,1995000
92109,4,2597000
92109,5,5881333
92109,6,5475000
92109,,3685909
92110,2,549000
92110,4,1439633
92110,5,2686999
92110,7,2888888
92110,,1875827
92111,2,418000
92111,3,1039950
92111,4,1099900
92111,,781964
92113,5,960000
92113,,960000
92114,3,772450
92114,4,807500
92114,6,899000
92114,,811780
92115,1,399000
92115,2,575000
92115,3,694000
92115,5,1100000
92115,8,4495000
92115,9,1790000
92115,,1106000
92116,2,1125000
92116,3,1344333
92116,,1256600
92117,2,936950
92117,3,984500
92117,4,1589000
92117,5,1689000
92117,6,1495000
92117,,1251173
92118,1,1225000
92118,2,2600000
92118,4,5800000
92118,5,5025800
92118,6,5250000
92118,7,30125000
92118,8,15927400
92118,,9137031
92119,3,932500
92119,,932500
92122,2,1150000
92122,6,1850000
92122,,1500000
92123,3,999300
92123,,999300
92124,5,1529000
92124,,1529000
92126,2,625000
92126,3,1055380
92126,4,1185950
92126,,1064570
92127,3,1318475
92127,4,2328750
92127,5,2680718
92127,6,4700000
92127,7,2950000
92127,,2463181
92128,1,464900
92128,2,762250
92128,3,899450
92128,4,1412500
92128,5,1475000
92128,,961280
92129,3,1085000
92129,5,2200000
92129,6,1775000
92129,,1536250
92130,2,1090000
92130,3,1799358
92130,4,1981000
92130,5,3064111
92130,6,5490000
92130,,2531308
92131,2,662500
92131,6,2200000
92131,,1175000
92139,3,629900
92139,,629900
92154,2,480000
92154,3,685000
92154,4,822000
92154,,702250
92173,4,814900
92173,,814900
92562,3,1777777
92562,7,8975000
92562,,5376389
92591,4,797450
92591,,797450
92592,4,876500
92592,5,1050000
92592,,934333
92603,4,22900000
92603,,22900000
92629,4,42000000
92629,5,39500000
92629,6,55000000
92629,,45500000
92651,4,30000000
92651,5,33565000
92651,,32673750
92657,5,62000000
92657,6,48462667
92657,7,55386250
92657,,54548111
92660,4,27900000
92660,5,39950000
92660,6,64000000
92660,,43950000
92661,6,68000000
92661,,68000000
92677,6,39995000
92677,9,33800000
92677,,36897500
92883,7,6500000
92883,,6500000
