address,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,PriceEstimate,RentEstimate,imgSrc
"10644 Bellagio Rd, Los Angeles, CA 90077",Los Angeles,CA,90077,34.080402,-118.44406,195000000,20,7,,Single Family,186955300,730387,https://photos.zillowstatic.com/fp/ac43a635192aa51507ed6454056d3c37-p_e.jpg
"19 Del Mar, Newport Coast, CA 92657",Newport Coast,CA,92657,33.579117,-117.833084,89000000,8,5,14958,Single Family,78081100,145896,https://photos.zillowstatic.com/fp/3034c1d317dd879f9a9068736e706166-p_e.jpg
"1028 Ridgedale Dr, Beverly Hills, CA 90210",Beverly Hills,CA,90210,34.08456,-118.42676,85000000,18,12,24325,Single Family,,,https://photos.zillowstatic.com/fp/5cc3439fa0519c43246a373e26315888-p_e.jpg
"1210 Benedict Canyon Dr, Beverly Hills, CA 90210",Beverly Hills,CA,90210,34.088654,-118.42405,75000000,16,11,27150,Single Family,73546400,257068,https://photos.zillowstatic.com/fp/6207e369a416378bb8fc58e2afdd243b-p_e.jpg
"912 Benedict Canyon Dr, Beverly Hills, CA 90210",Beverly Hills,CA,90210,34.080776,-118.41729,72500000,15,7,17005,Single Family,61592000,271420,https://photos.zillowstatic.com/fp/dddb92ad49aeb2e21727c916f99b79c5-p_e.jpg
"6 Midsummer, Newport Beach, CA 92657",Newport Beach,CA,92657,33.582565,-117.82734,69800000,13,7,15500,Single Family,35910300,112062,https://photos.zillowstatic.com/fp/3b545f85930e760a01950fc6e82c1a42-p_e.jpg
"1220 W Bay Ave, Newport Beach, CA 92661",Newport Beach,CA,92661,33.60714,-117.91654,68000000,8,6,12749,Single Family,,27589,https://photos.zillowstatic.com/fp/634fdc32a54253f589709cfcadaefb58-p_e.jpg
"28026 Sea Lane Dr, Malibu, CA 90265",Malibu,CA,90265,34.022305,-118.78263,67500000,5,4,3795,Single Family,,54351,https://photos.zillowstatic.com/fp/5ec4fd5e5187b21749c2a4595a75218f-p_e.jpg
"1005 N Alpine Dr, Beverly Hills, CA 90210",Beverly Hills,CA,90210,34.09128,-118.40844,65000000,6,4,4351,Single Family,10762400,40201,https://photos.zillowstatic.com/fp/a65f89f92f6710f634e0f6934bc24e32-p_e.jpg
"10979 Chalon Rd, Los Angeles, CA 90077",Los Angeles,CA,90077,34.084206,-118.460014,65000000,24,12,32000,Single Family,62502800,243024,https://photos.zillowstatic.com/fp/e61450ea4cd0c3079201abdf771f70d1-p_e.jpg
"20 Harbor Is, Newport Beach, CA 92660",Newport Beach,CA,92660,33.61083,-117.90368,64000000,5,6,3600,Single Family,,,https://photos.zillowstatic.com/fp/75d280eb7f7658ff83cfd9b9736b4c9a-p_e.jpg
"31 High Water, Newport Coast, CA 92657",Newport Coast,CA,92657,33.57914,-117.82889,62900000,12,7,15000,Single Family,54307800,165013,https://photos.zillowstatic.com/fp/4a54ba196e1d05bd33132b2781e869f0-p_e.jpg
"1108 Wallace Rdg, Beverly Hills, CA 90210",Beverly Hills,CA,90210,34.09969,-118.39609,62000000,14,7,18169,Single Family,53709800,229876,https://photos.zillowstatic.com/fp/bec6da814a686f894d9d9d29e8daf4dc-p_e.jpg
"46 Deep Sea, Newport Coast, CA 92657",Newport Coast,CA,92657,33.577866,-117.82945,58888000,10,6,14000,Single Family,55471900,163334,https://photos.zillowstatic.com/fp/b1700497f9be8217d2f377abbde739f8-p_e.jpg
"41800 E Pacific Coast Hwy, Malibu, CA 90265",Malibu,CA,90265,34.049816,-118.95642,57500000,7,5,8206,Single Family,12454100,48315,https://photos.zillowstatic.com/fp/159d5417bb0e4ee2ae4a21808a518d6f-p_e.jpg
